ID,Name,Category,Lowest Price,Highest Price,Price Savings,Currency,Available At,Source Count,Images,Description
unified_f31f92fbf549,Wooden Comb - UBK1350,Hair Brush,,,,INR,unboxkar,1,5,
unified_dde963e869bf,Korean Style wooden Hair Brush - UBK2620,Hair Brush,,,,INR,"unboxkar, unboxkar",2,5,
unified_ba102c30711e,Korean Style hair comb - UBK2797,Hair Brush,,,,INR,unboxkar,1,5,
unified_bfd3f59a819a,Heart Glitter mini Hair Brush - UBK2103,Hair Brush,,,,INR,unboxkar,1,5,
unified_4dead1f466c4,Cartoon Handle Comb – UBK3355,Hair Brush,,,,INR,unboxkar,1,5,
unified_ca4b2a1e4883,Cute Liquid Glitter Hair Brush – UBK3373,Hair Brush,,,,INR,unboxkar,1,5,
unified_2b9c27e28bf9,4-in-1 Hair Comb Set – UBK3375,Hair Brush,,,,INR,unboxkar,1,5,
unified_f4affa7286bb,Spiral Grip Detangling Hair Brush – UBK3453,Hair Brush,,,,INR,unboxkar,1,5,
unified_58ce291f9a44,Cute Paw Glitter Kids Hair Brush – UBK3452,Hair Brush,,,,INR,unboxkar,1,5,
unified_69f434447882,Paddle Hair Brush with Soft Bristles – UBK3631,Hair Brush,,,,INR,unboxkar,1,5,
unified_fe2f60cdd9b0,Pastel Twisted Handle Hair Comb – UBK3629,Hair Brush,,,,INR,unboxkar,1,5,
unified_c1d05b060216,Blush & Bloom Valentine Box 🌸,Gifting,,,,INR,unboxkar,1,5,
unified_3e5bd59c4cb9,Unknown Product,Beginners Kit,650.0,650.0,0,INR,scrunchybows,1,0,"Bangles Mixed Cut (1 cut 4, 2 cut 3 sets & 4 cut 5 sets)Regular White 6 Shapes 10 Grams (3m Round, S"
unified_37a37a1289c9,Unknown Product,Round Bangles,120.0,120.0,0,INR,scrunchybows,1,0,
unified_3cbd28072459,Unknown Product,Round Bangles,120.0,120.0,0,INR,scrunchybows,1,0,
unified_270eee253841,Unknown Product,Round Bangles,120.0,120.0,0,INR,scrunchybows,1,0,
